"date","room_type","str_ltr","listings"
"2023-04-05","Shared room","str","307"
"2023-05-03","Entire home/apt","ltr","11761"
"2023-05-03","Entire home/apt","str","12776"
"2023-05-03","Hotel room","ltr","34"
"2023-05-03","Hotel room","str","146"
"2023-05-03","Private room","ltr","8659"
"2023-05-03","Private room","str","9361"
"2023-05-03","Shared room","ltr","273"
"2023-05-03","Shared room","str","293"
"2023-06-05","Entire home/apt","ltr","12027"
"2023-06-05","Entire home/apt","str","12622"
"2023-06-05","Hotel room","ltr","33"
"2023-06-05","Hotel room","str","118"
"2023-06-05","Private room","ltr","8796"
"2023-06-05","Private room","str","9390"
"2023-06-05","Shared room","ltr","276"
"2023-06-05","Shared room","str","304"
"2023-07-03","Entire home/apt","ltr","12210"
"2023-07-03","Entire home/apt","str","12512"
"2023-07-03","Hotel room","ltr","33"
"2023-07-03","Hotel room","str","117"
"2023-07-03","Private room","ltr","9054"
"2023-07-03","Private room","str","9255"
"2023-07-03","Shared room","ltr","286"
"2023-07-03","Shared room","str","262"
"2023-08-04","Entire home/apt","ltr","12355"
"2023-08-04","Entire home/apt","str","12294"
"2023-08-04","Hotel room","ltr","27"
"2023-08-04","Hotel room","str","108"
"2023-08-04","Private room","ltr","9132"
"2023-08-04","Private room","str","9127"
"2023-08-04","Shared room","ltr","283"
"2023-08-04","Shared room","str","256"
"2023-09-05","Entire home/apt","ltr","18580"
"2023-09-05","Entire home/apt","str","3401"
"2023-09-05","Hotel room","ltr","29"
"2023-09-05","Hotel room","str","104"
"2023-09-05","Private room","ltr","13585"
"2023-09-05","Private room","str","3256"
"2023-09-05","Shared room","ltr","418"
"2023-09-05","Shared room","str","80"
"2023-10-01","Entire home/apt","ltr","19899"
"2023-10-01","Entire home/apt","str","1420"
"2023-10-01","Hotel room","ltr","28"
"2023-10-01","Hotel room","str","104"
"2023-10-01","Private room","ltr","15164"
"2023-10-01","Private room","str","1685"
"2023-10-01","Shared room","ltr","474"
"2023-10-01","Shared room","str","18"
"2023-11-01","Entire home/apt","ltr","19555"
"2023-11-01","Entire home/apt","str","1681"
"2023-11-01","Hotel room","ltr","38"
"2023-11-01","Hotel room","str","93"
"2023-11-01","Private room","ltr","15308"
"2023-11-01","Private room","str","1948"
"2023-11-01","Shared room","ltr","513"
"2023-11-01","Shared room","str","24"
"2023-12-04","Entire home/apt","ltr","19448"
"2023-12-04","Entire home/apt","str","1798"
"2023-12-04","Hotel room","ltr","38"
"2023-12-04","Hotel room","str","133"
"2023-12-04","Private room","ltr","15409"
"2023-12-04","Private room","str","2256"
"2023-12-04","Shared room","ltr","513"
"2023-12-04","Shared room","str","32"
"2024-01-05","Entire home/apt","ltr","19261"
"2024-01-05","Entire home/apt","str","1801"
"2024-01-05","Hotel room","ltr","39"
"2024-01-05","Hotel room","str","135"
"2024-01-05","Private room","ltr","15383"
"2024-01-05","Private room","str","2548"
"2024-01-05","Shared room","ltr","511"
"2024-01-05","Shared room","str","41"
"2024-02-06","Entire home/apt","ltr","19070"
"2024-02-06","Entire home/apt","str","1783"
"2024-02-06","Hotel room","ltr","40"
"2024-02-06","Hotel room","str","229"
"2024-02-06","Private room","ltr","14949"
"2024-02-06","Private room","str","2594"
"2024-02-06","Shared room","ltr","507"
"2024-02-06","Shared room","str","30"
"2024-03-07","Entire home/apt","ltr","18843"
"2024-03-07","Entire home/apt","str","1892"
"2024-03-07","Hotel room","ltr","40"
"2024-03-07","Hotel room","str","228"
"2024-03-07","Private room","ltr","14976"
"2024-03-07","Private room","str","2785"
"2024-03-07","Shared room","ltr","513"
"2024-03-07","Shared room","str","42"
