"date","room_type","str_ltr","listings"
"2017-03-02","Entire home/apt","ltr","632"
"2017-03-02","Entire home/apt","str","19247"
"2017-03-02","Private room","ltr","317"
"2017-03-02","Private room","str","19185"
"2017-03-02","Shared room","ltr","18"
"2017-03-02","Shared room","str","1187"
"2017-04-02","Entire home/apt","ltr","624"
"2017-04-02","Entire home/apt","str","19250"
"2017-04-02","Private room","ltr","322"
"2017-04-02","Private room","str","19210"
"2017-04-02","Shared room","ltr","33"
"2017-04-02","Shared room","str","1190"
"2017-05-02","Entire home/apt","ltr","630"
"2017-05-02","Entire home/apt","str","19307"
"2017-05-02","Private room","ltr","334"
"2017-05-02","Private room","str","19292"
"2017-05-02","Shared room","ltr","32"
"2017-05-02","Shared room","str","1158"
"2017-06-02","Entire home/apt","ltr","648"
"2017-06-02","Entire home/apt","str","19567"
"2017-06-02","Private room","ltr","334"
"2017-06-02","Private room","str","19472"
"2017-06-02","Shared room","ltr","27"
"2017-06-02","Shared room","str","1139"
"2017-07-02","Entire home/apt","ltr","620"
"2017-07-02","Entire home/apt","str","20541"
"2017-07-02","Private room","ltr","327"
"2017-07-02","Private room","str","20160"
"2017-07-02","Shared room","ltr","28"
"2017-07-02","Shared room","str","1191"
"2017-08-02","Entire home/apt","ltr","600"
"2017-08-02","Entire home/apt","str","21614"
"2017-08-02","Private room","ltr","333"
"2017-08-02","Private room","str","21089"
"2017-08-02","Shared room","ltr","27"
"2017-08-02","Shared room","str","1171"
"2017-09-02","Entire home/apt","ltr","602"
"2017-09-02","Entire home/apt","str","20030"
"2017-09-02","Private room","ltr","320"
"2017-09-02","Private room","str","19169"
"2017-09-02","Shared room","ltr","24"
"2017-09-02","Shared room","str","1012"
"2017-10-02","Entire home/apt","ltr","602"
"2017-10-02","Entire home/apt","str","21470"
"2017-10-02","Private room","ltr","303"
"2017-10-02","Private room","str","20807"
"2017-10-02","Shared room","ltr","24"
"2017-10-02","Shared room","str","1111"
"2017-11-01","Entire home/apt","ltr","650"
"2017-11-01","Entire home/apt","str","21940"
"2017-11-01","Private room","ltr","315"
"2017-11-01","Private room","str","21282"
"2017-11-01","Shared room","ltr","34"
"2017-11-01","Shared room","str","1140"
"2017-12-03","Entire home/apt","ltr","628"
"2017-12-03","Entire home/apt","str","23153"
"2017-12-03","Private room","ltr","328"
